begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,COD_INFORMANTE
21,22,V7101
22,23,V7102
23,24,V71031
24,25,V71032
25,26,V71033
26,27,V71034
27,28,V71035
28,29,V71036
29,30,V71037
30,31,V71038
31,32,V7104
32,33,V71051
33,34,V71052
34,35,V71053
35,36,V71054
36,37,V71055
37,38,V71056
38,39,V71A01
39,40,V71A02
40,43,V72C01
43,46,V72C02
46,60,PESO
60,75,PESO_FINAL
75,85,RENDA_TOTAL
