begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,QUADRO
21,23,SEQ
23,30,V9001
30,32,V9002
32,42,V8000
42,44,V9010
44,46,V9011
46,56,V1904
56,57,V1905
57,69,DEFLATOR
69,79,V8000_DEFLA
79,89,V1904_DEFLA
89,90,COD_IMPUT_VALOR
90,92,FATOR_ANUALIZACAO
92,106,PESO
106,120,PESO_FINAL
120,130,RENDA_TOTAL
130,135,V9004
