begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,QUADRO
21,23,SEQ
23,30,V9001
30,32,V9002
32,36,V9005
36,46,V8000
46,48,V9010
48,50,V9011
50,51,V9012
51,61,V1904
61,62,V1905
62,74,DEFLATOR
74,84,V8000_DEFLA
84,94,V1904_DEFLA
94,95,COD_IMPUT_VALOR
95,96,COD_IMPUT_QUANTIDADE
96,98,FATOR_ANUALIZACAO
98,112,PESO
112,126,PESO_FINAL
126,136,RENDA_TOTAL
136,141,V9004
