begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,QUADRO
21,24,SEQ
24,31,V9001
31,33,V9002
33,43,V8000
43,55,DEFLATOR
55,65,V8000_DEFLA
65,66,COD_IMPUT_VALOR
66,68,FATOR_ANUALIZACAO
68,82,PESO
82,96,PESO_FINAL
96,106,RENDA_TOTAL
106,115,V9005
115,119,V9007
119,124,V9009
124,133,QTD_FINAL
133,138,V9004
